0.001 9.97572 9.97572 3.66113e-14
0.002 9.95144 9.95144 3.65853e-14
0.003 9.92716 9.92716 3.6561e-14
0.004 9.90289 9.90289 3.6535e-14
0.005 9.87861 9.87861 3.6509e-14
0.006 9.85433 9.85433 3.64847e-14
0.007 9.83005 9.83005 3.64587e-14
0.008 9.80577 9.80577 3.64327e-14
0.009 9.78149 9.78149 3.64084e-14
0.01 9.75721 9.75721 3.63824e-14
0.011 9.73294 9.73294 3.63563e-14
0.012 9.70866 9.70866 3.6332e-14
0.013 9.68438 9.68438 3.6306e-14
0.014 9.6601 9.6601 3.62817e-14
0.015 9.63582 9.63582 3.62557e-14
0.016 9.61154 9.61154 3.62297e-14
0.017 9.58727 9.58727 3.62054e-14
0.018 9.56299 9.56299 3.61794e-14
0.019 9.53871 9.53871 3.61534e-14
0.02 9.51443 9.51443 3.61291e-14
0.021 9.49015 9.49015 3.61031e-14
0.022 9.46587 9.46587 3.6077e-14
0.023 9.44159 9.44159 3.60528e-14
0.024 9.41732 9.41732 3.60267e-14
0.025 9.39304 9.39304 3.60007e-14
0.026 9.36876 9.36876 3.59764e-14
0.027 9.34448 9.34448 3.59504e-14
0.028 9.3202 9.3202 3.59244e-14
0.029 9.29592 9.29592 3.59001e-14
0.03 9.27164 9.27164 3.58741e-14
0.031 9.24737 9.24737 3.58481e-14
0.032 9.22309 9.22309 3.58238e-14
0.033 9.19881 9.19881 3.57978e-14
0.034 9.17453 9.17453 3.57735e-14
0.035 9.15025 9.15025 3.57474e-14
0.036 9.12597 9.12597 3.57214e-14
0.037 9.1017 9.1017 3.56971e-14
0.038 9.07742 9.07742 3.56711e-14
0.039 9.05314 9.05314 3.56451e-14
0.04 9.02886 9.02886 3.56208e-14
0.041 9.00458 9.00458 3.55948e-14
0.042 8.9803 8.9803 3.55688e-14
0.043 8.95602 8.95602 3.55445e-14
0.044 8.93175 8.93175 3.55185e-14
0.045 8.90747 8.90747 3.54924e-14
0.046 8.88319 8.88319 3.54682e-14
0.047 8.85891 8.85891 3.54421e-14
0.048 8.83463 8.83463 3.54161e-14
0.049 8.81035 8.81035 3.53918e-14
0.05 8.78607 8.78607 3.53658e-14
0.051 8.7618 8.7618 3.53398e-14
0.052 8.73752 8.73752 3.53155e-14
0.053 8.71324 8.71324 3.52895e-14
0.054 8.68896 8.68896 3.52652e-14
0.055 8.66468 8.66468 3.52392e-14
0.056 8.6404 8.6404 3.52132e-14
0.057 8.61612 8.61612 3.51889e-14
0.058 8.59185 8.59185 3.51628e-14
0.059 8.56757 8.56757 3.51368e-14
0.06 8.54329 8.54329 3.51125e-14
0.061 8.51901 8.51901 3.50865e-14
0.062 8.49473 8.49473 3.50605e-14
