0.37 -0.0597272 0.020642 -0.384675 -0.577154 -0.000881424 0.000259379 1.05 -2.64363e-15 -5.21879e-16 0.0966478 0.995319
0.38 -0.058881 0.0203708 -0.389893 -0.585558 -0.000888606 0.000276183 1.05 -2.8113e-15 -5.42364e-16 0.096936 0.995291
0.39 -0.0563134 0.0241996 -0.391518 -0.596543 -0.000905659 0.000309266 1.05 -2.97619e-15 -5.6133e-16 0.0971208 0.995273
0.4 -0.0536194 0.0288798 -0.392415 -0.60454 -0.000931067 0.000360781 1.05 -3.13525e-15 -5.80063e-16 0.0972277 0.995262
0.41 -0.0521608 0.0321221 -0.393443 -0.608311 -0.000962969 0.000438691 1.05 -3.28806e-15 -5.95792e-16 0.0972491 0.99526
0.42 -0.0482713 0.0322904 -0.392613 -0.613228 -0.0009956 0.000546051 1.05 -3.43934e-15 -6.09417e-16 0.0972418 0.995261
0.43 -0.0476689 0.0328783 -0.393982 -0.61545 -0.00104242 0.000639359 1.05 -3.59134e-15 -6.25706e-16 0.0972613 0.995259
0.44 -0.0493182 0.0329382 -0.392558 -0.614928 -0.00107145 0.000721665 1.05 -3.73898e-15 -6.44646e-16 0.0972544 0.99526
0.45 -0.0509856 0.031469 -0.390462 -0.614392 -0.00110138 0.000852267 1.05 -3.88178e-15 -6.71038e-16 0.0972564 0.995259
0.46 -0.0521465 0.0303305 -0.389239 -0.612656 -0.00114678 0.00103012 1.05 -4.02038e-15 -7.04574e-16 0.0972517 0.99526
0.47 -0.0534902 0.0289887 -0.3906 -0.613692 -0.00121043 0.00121696 1.05 -4.16054e-15 -7.39454e-16 0.0972594 0.995259
0.48 -0.0537444 0.028916 -0.394805 -0.616222 -0.00126573 0.00138937 1.05 -4.30664e-15 -7.75655e-16 0.0972456 0.99526
0.49 -0.0542538 0.0297564 -0.396571 -0.618229 -0.00132702 0.00152713 1.05 -4.45698e-15 -8.14398e-16 0.0972599 0.995259
0.5 -0.0556976 0.0297121 -0.395434 -0.61927 -0.00137859 0.00162677 1.05 -4.60789e-15 -8.56851e-16 0.0972867 0.995256
0.51 -0.0569222 0.0306965 -0.394393 -0.61795 -0.00145751 0.00175702 1.05 -4.75959e-15 -9.01861e-16 0.097321 0.995253
0.52 -0.05788 0.0316188 -0.394889 -0.621752 -0.0015547 0.0019178 1.05 -4.91223e-15 -9.4468e-16 0.0973433 0.995251
0.53 -0.0571 0.0292029 -0.401201 -0.630896 -0.00166063 0.00210487 1.05 -5.06649e-15 -9.88036e-16 0.0973539 0.99525
0.54 -0.0561354 0.0277862 -0.407021 -0.637612 -0.00177851 0.00231723 1.05 -5.21987e-15 -1.0375e-15 0.097382 0.995247
0.55 -0.0544788 0.0276626 -0.408194 -0.643164 -0.00188952 0.00249898 1.05 -5.37186e-15 -1.09155e-15 0.0974352 0.995242
0.56 -0.0533456 0.0280239 -0.409574 -0.648114 -0.00196573 0.0026394 1.05 -5.52445e-15 -1.14717e-15 0.097472 0.995238
0.57 -0.0531022 0.0308082 -0.411394 -0.649495 -0.00200523 0.00276373 1.05 -5.67594e-15 -1.20088e-15 0.0974543 0.99524
0.58 -0.0547485 0.0344604 -0.418809 -0.644056 -0.0020379 0.00292586 1.05 -5.8278e-15 -1.25419e-15 0.0974076 0.995245
0.59 -0.0564017 0.0380251 -0.424584 -0.639839 -0.00209801 0.00314258 1.05 -5.971e-15 -1.31988e-15 0.0973722 0.995248
0.6 -0.0582329 0.0393613 -0.428738 -0.636416 -0.00218143 0.00339518 1.05 -6.10617e-15 -1.39604e-15 0.0973581 0.995249
0.61 -0.0613954 0.0388329 -0.42847 -0.636572 -0.00228241 0.00364481 1.05 -6.25126e-15 -1.47502e-15 0.0973621 0.995249
0.62 -0.0648402 0.0388649 -0.423476 -0.64392 -0.00239003 0.00388629 1.05 -6.39981e-15 -1.55717e-15 0.097363 0.995249
0.63 -0.0676574 0.0393089 -0.41919 -0.651159 -0.0025055 0.00411751 1.05 -6.55927e-15 -1.64425e-15 0.0974039 0.995245
0.64 -0.0701523 0.0396803 -0.419098 -0.657823 -0.00262242 0.00433002 1.05 -6.72738e-15 -1.73521e-15 0.0974483 0.995241
0.65 -0.0717562 0.0402985 -0.420464 -0.663059 -0.00271607 0.00449402 1.05 -6.89767e-15 -1.82934e-15 0.0974871 0.995237
0.66 -0.0726318 0.0410013 -0.421486 -0.666508 -0.00276224 0.00460168 1.05 -7.0662e-15 -1.92306e-15 0.0975088 0.995235
0.67 -0.0734937 0.042091 -0.42223 -0.669235 -0.0027892 0.00469194 1.05 -7.23065e-15 -2.01581e-15 0.0974987 0.995236
0.68 -0.0739218 0.03874 -0.419022 -0.669572 -0.0028272 0.00478146 1.05 -7.40734e-15 -2.10871e-15 0.0974909 0.995236
0.69 -0.0735323 0.0341476 -0.415044 -0.663169 -0.00289347 0.00489002 1.05 -7.58442e-15 -2.21118e-15 0.0974877 0.995237
0.7 -0.073497 0.0312768 -0.413883 -0.664062 -0.0029986 0.00504712 1.05 -7.75158e-15 -2.32418e-15 0.0974843 0.995237
0.71 -0.0740893 0.0344561 -0.419632 -0.667092 -0.00311484 0.00522141 1.05 -7.97865e-15 -2.38308e-15 0.09746 0.995239
0.72 -0.075325 0.0326626 -0.42169 -0.66956 -0.00323512 0.00539841 1.05 -8.20543e-15 -2.44461e-15 0.0974668 0.995239
0.73 -0.0762838 0.0312505 -0.424207 -0.670548 -0.0033588 0.00557799 1.05 -8.42861e-15 -2.50264e-15 0.0974797 0.995238
0.74 -0.0774791 0.0298504 -0.428035 -0.668838 -0.0035165 0.00580186 1.05 -8.64963e-15 -2.57135e-15 0.0975126 0.995234
0.75 -0.0789251 0.0306335 -0.429369 -0.668503 -0.00365852 0.00602656 1.05 -8.87162e-15 -2.64359e-15 0.0975468 0.995231
0.76 -0.0808798 0.031215 -0.430767 -0.674012 -0.00375065 0.00619511 1.05 -9.09725e-15 -2.71626e-15 0.0975652 0.995229
0.77 -0.0823311 0.0316615 -0.432115 -0.678623 -0.00379303 0.00629162 1.05 -9.32167e-15 -2.78904e-15 0.0975845 0.995227
0.78 -0.0834805 0.0294263 -0.435247 -0.679631 -0.00383927 0.00636125 1.05 -9.55012e-15 -2.86284e-15 0.097594 0.995226
0.79 -0.0843004 0.0263043 -0.436328 -0.673177 -0.00390971 0.00645001 1.05 -9.80077e-15 -2.93094e-15 0.097588 0.995227
0.8 -0.0847124 0.0253602 -0.437648 -0.672718 -0.00400145 0.00656199 1.05 -1.0059e-14 -2.99513e-15 0.0975667 0.995229
0.81 -0.0849645 0.022159 -0.443183 -0.676916 -0.00410741 0.00670003 1.05 -1.03276e-14 -3.05589e-15 0.0975377 0.995232
0.82 -0.0860242 0.0186388 -0.449644 -0.676425 -0.00425682 0.00687907 1.05 -1.06048e-14 -3.12092e-15 0.0975416 0.995231
0.83 -0.0877845 0.0183881 -0.451983 -0.675031 -0.00443728 0.00710156 1.05 -1.08809e-14 -3.19395e-15 0.0975811 0.995228
0.84 -0.0907322 0.0205619 -0.449717 -0.673594 -0.00461406 0.0073454 1.05 -1.11568e-14 -3.27359e-15 0.0976248 0.995223
0.85 -0.0943577 0.0227485 -0.446175 -0.672603 -0.00478297 0.00759882 1.05 -1.1436e-14 -3.35751e-15 0.0976725 0.995219
0.86 -0.0982884 0.0241791 -0.444956 -0.672845 -0.00492655 0.00781975 1.05 -1.17104e-14 -3.4551e-15 0.097713 0.995215
0.87 -0.102148 0.0259806 -0.445719 -0.672373 -0.00511074 0.00804665 1.05 -1.19858e-14 -3.55496e-15 0.0977611 0.99521
0.88 -0.106112 0.0259124 -0.448145 -0.671476 -0.00527364 0.00823807 1.05 -1.22627e-14 -3.64179e-15 0.0977981 0.995206
0.89 -0.107703 0.0260878 -0.450797 -0.67404 -0.00538538 0.00838205 1.05 -1.2538e-14 -3.72492e-15 0.0978339 0.995203
0.9 -0.103973 0.025998 -0.453641 -0.684124 -0.00550313 0.00852246 1.05 -1.28112e-14 -3.80653e-15 0.0978783 0.995198
0.91 -0.101816 0.0225598 -0.460825 -0.690584 -0.00564465 0.00868811 1.05 -1.3097e-14 -3.89777e-15 0.0979457 0.995192
0.92 -0.101227 0.0176148 -0.466246 -0.692932 -0.00580223 0.00888319 1.05 -1.33918e-14 -3.98603e-15 0.0979772 0.995189
0.93 -0.101803 0.0127449 -0.465952 -0.69418 -0.00598191 0.00907881 1.05 -1.36833e-14 -4.06273e-15 0.0980047 0.995186
0.94 -0.103544 0.00895022 -0.465872 -0.695052 -0.00617473 0.00925774 1.05 -1.39695e-14 -4.12274e-15 0.0980136 0.995185
0.95 -0.105965 0.00609119 -0.465069 -0.694961 -0.00635976 0.00943333 1.05 -1.42445e-14 -4.17256e-15 0.0980154 0.995185
0.96 -0.107944 0.00366096 -0.465225 -0.694267 -0.00655234 0.00960475 1.05 -1.45119e-14 -4.20689e-15 0.0980258 0.995184
0.97 -0.1093 0.00153166 -0.464871 -0.692914 -0.00675214 0.00976519 1.05 -1.4767e-14 -4.22969e-15 0.0980278 0.995184
0.98 -0.110294 -0.000703414 -0.463986 -0.691037 -0.0069581 0.00991474 1.05 -1.50137e-14 -4.2372e-15 0.0980225 0.995184
0.99 -0.111165 -0.00248182 -0.462243 -0.68888 -0.0071679 0.0100611 1.05 -1.52514e-14 -4.22861e-15 0.0980158 0.995185
1 -0.112018 -0.00403274 -0.462183 -0.686547 -0.00736029 0.0102041 1.05 -1.54835e-14 -4.21332e-15 0.0980166 0.995185
1.01 -0.112875 -0.00442854 -0.460437 -0.685088 -0.00750321 0.0103367 1.05 -1.57077e-14 -4.19295e-15 0.0980237 0.995184
1.02 -0.113763 -0.0041026 -0.45968 -0.686946 -0.00759679 0.0104422 1.05 -1.59353e-14 -4.17422e-15 0.0980379 0.995183
1.03 -0.114334 -0.00359667 -0.460399 -0.68757 -0.00768563 0.0105359 1.05 -1.6165e-14 -4.16248e-15 0.0980685 0.99518
1.04 -0.11462 -0.00296672 -0.459693 -0.689008 -0.00772224 0.0105888 1.05 -1.63959e-14 -4.15041e-15 0.098089 0.995178
1.05 -0.114973 -0.00400936 -0.464409 -0.689651 -0.00775597 0.0106406 1.05 -1.66453e-14 -4.13639e-15 0.0981052 0.995176
1.06 -0.115394 -0.00517719 -0.471557 -0.686802 -0.00778606 0.0106979 1.05 -1.69157e-14 -4.12018e-15 0.0980872 0.995178
1.07 -0.116486 -0.00570981 -0.474406 -0.684739 -0.00780857 0.0107573 1.05 -1.71908e-14 -4.09865e-15 0.0980636 0.99518
1.08 -0.11725 -0.00836848 -0.477919 -0.675585 -0.00783991 0.0108129 1.05 -1.74782e-14 -4.07057e-15 0.0980451 0.995182
1.09 -0.116823 -0.0137597 -0.482453 -0.676191 -0.00790194 0.0109014 1.05 -1.77763e-14 -4.03783e-15 0.0980423 0.995182
1.1 -0.116956 -0.017414 -0.488196 -0.677278 -0.00800858 0.01104 1.05 -1.807e-14 -4.00284e-15 0.0980741 0.995179
1.11 -0.117362 -0.0175708 -0.490206 -0.680959 -0.00812519 0.011207 1.05 -1.83691e-14 -3.98006e-15 0.0981149 0.995175
1.12 -0.118054 -0.0184392 -0.488945 -0.688927 -0.00820869 0.011351 1.05 -1.86724e-14 -3.9583e-15 0.0981366 0.995173
1.13 -0.119883 -0.0183502 -0.488029 -0.694408 -0.00825145 0.0114392 1.05 -1.89736e-14 -3.93351e-15 0.0981446 0.995172
1.14 -0.119477 -0.0182445 -0.488116 -0.694781 -0.00830341 0.011516 1.05 -1.92638e-14 -3.88945e-15 0.0981472 0.995172
1.15 -0.121802 -0.0180559 -0.488223 -0.695397 -0.00835932 0.0115936 1.05 -1.95389e-14 -3.82268e-15 0.0981555 0.995171
1.16 -0.131325 -0.0159521 -0.487808 -0.70383 -0.00841037 0.0116555 1.05 -1.97945e-14 -3.74008e-15 0.0981639 0.99517
1.17 -0.13938 -0.012278 -0.489069 -0.711499 -0.00847071 0.0117169 1.05 -2.00289e-14 -3.65058e-15 0.0981609 0.995171
1.18 -0.144133 -0.0118028 -0.492978 -0.712269 -0.00854785 0.0118185 1.05 -2.02371e-14 -3.57155e-15 0.0981903 0.995168
1.19 -0.150966 -0.0140763 -0.493456 -0.711937 -0.00864529 0.0119433 1.05 -2.04206e-14 -3.51051e-15 0.0982433 0.995162
1.2 -0.150484 -0.0175025 -0.494224 -0.714381 -0.00874152 0.0120587 1.05 -2.05952e-14 -3.44407e-15 0.0982857 0.995158
1.21 -0.150435 -0.0202861 -0.495027 -0.715915 -0.008843 0.0121685 1.05 -2.07558e-14 -3.36146e-15 0.0983091 0.995156
1.22 -0.150968 -0.0225866 -0.495802 -0.716771 -0.00892763 0.0122796 1.05 -2.09023e-14 -3.2621e-15 0.0983092 0.995156
1.23 -0.151557 -0.0237097 -0.496053 -0.717281 -0.00898386 0.012389 1.05 -2.10333e-14 -3.14735e-15 0.0982862 0.995158
